Article identifier,Rumor or Deal Number,Text,Timestamp,Article Header,Rumor or Deal,Target1,Target2,Acquirer1,Acquirer2,Acquirer3,Acquirer4,Bullish/Bearish for the target (0 or 1),Bearish/Bullish for the acquirer (0 or 1),Announcement Date (if different from Article date),Notes
DP73,1,"Shares of T-Mobile US, Inc. (NYSE: TMUS) rose as high as $27.92 on Thursday, on a report from Germany's Manager Magazine, that the number 4 U.S. mobile carrier is shopping itself and is being looked at by companies that include Google (NASDAQ: GOOGL) and América Móvil (NASDAQ: AMOV).T-Mobile did not respond to a request for comment.T-Mobile closed Thursday at $27.77, a gain of 2.5%.DealReporter Says EPIQ Has Interest from PEThe Review:Shares of Epiq Systems, Inc. (NASDAQ: EPIQ) spiked higher early Thursday, on a report from Deal Reporter that private equity has expressed interest in the global provider of technology-enabled solutions for electronic discovery, bankruptcy, and class action and mass tort administration.Epiq Systems closed down 1.5% Thursday, at $18.15.PetSmart Attracts Interest of KKR",10/23/2014 20:14:00,"Benzinga's M&A Chatter for Thursday October 23, 2014",The Rumor:,,,,,,,,,,
DP73,2,"Pet Supply Retailer PetSmart, Inc (NASDAQ: PETM), has reportedly attracted the interest of prviate equity firm Kohlberg Kravis Roberts & Co. L.P. (NYSE: KKR) and others, according to the NY Post. The company confirmed in August, it was exploring strategic alternatives, including a potential sale, on pressure from activist investor, Jana Partners.PetSmart closed down $0.24 Thursday, at $68.64.Posted-In: News Hedge Funds Rumors Management Insider Trades M&A Movers General© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",10/23/2014 20:14:00,"Benzinga's M&A Chatter for Thursday October 23, 2014",The Rumor:,,,,,,,,,,
tC32,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Wednesday October 22, 2014:Report Riverbed to Contact Buyers Next Week",10/22/2014 19:28:00,"Benzinga's M&A Chatter for Wednesday October 22, 2014",NA,,,,,,,,,,
tC32,1,"Shares of Riverbed Technology (NASDAQ: RVBD) spiked higher Wednesday, on a report from Deal Reporter that the company will contact buyers in a week.Riverbed did not immediately respond to a request for comment. Investor Elliott Management, who has been attempting to get the Riverbed board to sell, also did not respond.Riverbed closed Wednesday at $18.16, a gain of almost 1.5%.Report Gap to Explore Strategic Options",10/22/2014 19:28:00,"Benzinga's M&A Chatter for Wednesday October 22, 2014",The Rumor:,,,,,,,,,,
tC32,2,"Shares of Gap Inc. (NYSE: GPS) spiked higher Wednesday, on unconfirmed market chatter that the company had hired Goldman Sachs to explore strategic options.A Gap spokesperson declined comment on the rumor.Gap rose $0.13 Wednesday, to close at $36.77.GFI's Special Committee to Review Unsolicited $5.25/Share Tender Offer from BGC PartnersThe Review:GFI Group Inc. (NYSE: GFIG) confirmed Wednesday that BGC Partners, Inc. (NASDAQ: BGCP) has commenced its previously announced unsolicited tender offer to acquire up to 100% of the outstanding shares of GFIG for $5.25 per share in cash. The special committee will review the offer and will advise its stockholders of the formal positions of the Special Committee and the Board regarding the tender offer no later than November 4, 2014. The Board continues to support, the pending transaction with CME Group Inc. (NASDAQ: CME) of July 30.GFI closed up 1% Wednesday, at $5.18.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",10/22/2014 19:28:00,"Benzinga's M&A Chatter for Wednesday October 22, 2014",The Rumor:,,,,,,,,,,
kU87,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Tuesday October 20, 2014:Hearing Market Chatter of Potential Intel Bid for Nvidia",10/21/2014 20:34:00,"Benzinga's M&A Chatter for Tuesday October 21, 2014",NA,,,,,,,,,,
kU87,1,"Shares of NVIDIA Corporation (NASDAQ: NVDA) spiked higher Tuesday, on unconfirmed market chatter of a potential bid from Intel Corporation (NASDAQ: INTC). The rumored bid is $25 per share.A spokesperson for Intel declined comment. Nvidia did not immediately respond to a request for comment.NVIDIA closed Tuesday at $18.32, a gain of more than 4%.Biomarin Mentioned as Potential Shire Target",10/21/2014 20:34:00,"Benzinga's M&A Chatter for Tuesday October 21, 2014",The Rumor:,,,,,,,,,,
kU87,2,"Shares of BioMarin Pharmaceutical Inc. (NASDAQ: BMRN) rose Tuesday, following comments from Adam Feuerstein in a Street.com article that the company could be a takeover target of Shire plc (NASDAQ: SHPG).Biomarin shares rose 5% Tuesday, to close at $74.71.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",10/21/2014 20:34:00,"Benzinga's M&A Chatter for Tuesday October 21, 2014",The Rumor:,,,,,,,,,,
ez13,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Monday October 20, 2014:BlackBerry Shares Rise on Report of Potential Lenovo Bid",10/20/2014 19:27:00,"Benzinga's M&A Chatter for Monday October 20, 2014",NA,,,,,,,,,,
ez13,1,"Share of BlackBerry Limited (NASDAQ: BBRY) rose Monday, following a report from Benzinga in Saturday, that China's Lenovo Group Limited (OTC: LNVGY) could make an offer to acquire Canadian mobile communications company, as early as this week. A source familiar with the matter said said Lenovo's could offer $15.00 per share initially, with a deal at around $18.00 per share.Neither BlackBerry nor Lenovo issued an official response to the report, though there were media reports of insiders at Lenovo denying an interest in acquiring BlackBerry. Spokespersons for both companies declined comment to Benzinga.A spokesperson for Canada's Federal Minister of Industry, told Benzinga that he was not aware of an offer made by Lenovo for BlackBerry and declined comment further regarding that specific rumor. He did say the Canada was open to foreign investment.BlackBerry closed Monday at $10.30, a gain of 8.5%.GLOBALFOUNDRIES to Acquire IBM's Microelectronics Business",10/20/2014 19:27:00,"Benzinga's M&A Chatter for Monday October 20, 2014",The Rumor:,,,,,,,,,,
ez13,2,"IBM (NYSE: IBM) announced an agreement Monday, under which GLOBALFOUNDRIES will acquire IBM's Microelectronics OEM semiconductor business and manufacturing operations. The loss from discontinued operations in the third quarter includes a non-recurring pre-tax charge of $4.7 billion, or $3.3 billion, net of tax. The charge includes an impairment to reflect fair value less estimated costs to sell the Microelectronics business assets, which the company has classified as held for sale at September 30, 2014. The charge also includes other estimated costs related to the transaction, including cash consideration expected to be transferred to GLOBALFOUNDRIES of approximately $1.5 billion. The deal is expected to close in 2015. IBM closed Monday at $169.10, a loss of 11%.Hearing Deal Reporter Says Altera Preparing for Sale",10/20/2014 19:27:00,"Benzinga's M&A Chatter for Monday October 20, 2014",The Deal:,,,,,,,,,,
ez13,3,"Shares of Altera (NASDAQ: ALTR) surged higher Monday, on a report from Deal Reporter that the company was preparing for a sale.There has been unusual option activity over the past month.Altera shares rose 1.5% Monday, to close at $33.03.AbbVie, Shire Terminate Merger AgreementThe Termination:AbbVie Inc. (NASDAQ: ABBV) and Shire plc (NASDAQ: SHPG) have agreed to terminate their proposed merger agreement. AbbVie's Board withdrew support for the proposed transaction, based upon its assessment of the September 22, 2014 notice issued by the U.S. Treasury Department which re-interpreted current tax regulations in a manner that made its acquisition of Shire less attractive.AbbVie has agreed to pay Shire a breakup fee of approximately $1.635 billion. AbbVie shares closed at $54.41 Monday, and traded at $55.25 after-hours. Shares of Shire closed at $184.59 Monday, trading as low as $172 after-hours.Actavis, Perrigo, Sanofi Reportedly Bidding for Omega Pharm",10/20/2014 19:27:00,"Benzinga's M&A Chatter for Monday October 20, 2014",The Rumor:,,,,,,,,,,
ez13,4,"Actavis plc (NYSE: ACT), Perrigo Company Public Limited Company (NYSE: PRGO) and Sanofi (NYSE: SNY), are among the companies bidding for Omega Pharma, according to sources, cited by Bloomberg. The sources say a deal for Omega could bring $5.1 billion.Actavis shares closed at $226.67 Monday, and traded at $230.00 after-hours. Perrigo shares closed at $148.47 and rose another 1% after-hours on Monday.Posted-In: News Rumors Management M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",10/20/2014 19:27:00,"Benzinga's M&A Chatter for Monday October 20, 2014",The Rumor:,,,,,,,,,,
Nq00,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Friday October 17 through Sunday October 19, 2014:Lenovo Could Make an Offer for BlackBerry as Early as This Week",10/19/2014 21:58:00,Benzinga's Weekend M&A Chatter,NA,,,,,,,,,,
Nq00,1,"A source familiar with the matter, has told Benzinga that China's Lenovo Group Limited (OTC: LNVGY) could make an offer to acquire Canadian mobile communications company, BlackBerry Limited (NASDAQ: BBRY), as early as this week. The source said Lenovo's first offer would be $15.00 per share, with a deal ultimately getting done around $18.00 per share.A spokesperson for BlackBerry told Benzinga on Saturday, the company does not comment on rumors or speculation. A Lenovo spokesperson was not immediately available for comment.BlackBerry closed Friday at $9.49, a gain of 2%.IBM to Make Business Announcement Monday The Announcement:IBM (NYSE: IBM) reported Sunday it will make a major business announcement, along with releasing its Q3 2014 earnings results on Monday, October 20 at 7:00 AM ET. Bloomberg reported that IBM could announce the sale of its chip business, paying Globalfoundries $1.5 billion, while receiving $200 million worth of assets, according to sources.IBM closed Friday at $182.05, a gain of more than 1%.Danone May Acquire Mead Johnson",10/19/2014 21:58:00,Benzinga's Weekend M&A Chatter,The Rumor:,,,,,,,,,,
Nq00,2,"Mead Johnson Nutrition Company shares soared Friday, before being halted on a circuit-breaker, on a report from Reuters, that Danone's (OTC: DANOY) sale of its medical nutrition unit was conditional on the acquisition of MJN, according. JP Morgan analysts said Mead Johnson could sell for as much as $120 per share.Danone board member Laurent Sacchi, said on Sunday the company has not made a decision on a takeover of Mead Johnson, according to WSJ.Mead Johnson shares rose almost 10% Friday, to close at $100.23.Shire Targeting Cubist, NPS Pharmaceuticals",10/19/2014 21:58:00,Benzinga's Weekend M&A Chatter,The Rumor:,,,,,,,,,,
Nq00,3,"Shire plc (NASDAQ: SHPG) is reportedly considering several acquisitions, following the cancellation of its takeover by AbbVie (NYSE: ABBV), according to The Guardian. Among the potential takeover targets for Shire are NPS Pharmaceuticals, Inc. (NASDAQ: NPSP) and Cubist Pharmaceuticals Inc. (NASDAQ: CBST), sources say.Shire gained $0.69 Friday, to close at $179.15. NPS Pharmaceuticals fell $0.26, closing at $26.16, while Cubist rose 3%, to close at $65.89.Posted-In: News Rumors Asset Sales M&A© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",10/19/2014 21:58:00,Benzinga's Weekend M&A Chatter,The Rumor:,,,,,,,,,,
SI38,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Thursday October 16, 2014:Hearing Deal Reporter Says Woodside May Pay Up to $4B for Interoil",10/17/2014 0:02:00,"Benzinga's M&A Chatter for Thursday October 16, 2014",NA,,,,,,,,,,
SI38,1,"Shares of InterOil Corporation (NYSE: IOC) rose Thursday, on a report from Deal Reporter that Woodside Petroleum Ltd. (OTC: WOPEF) could offer as much as $4B.Spokespersons for Interoil and Woodside did not immediately respond to requests for comment.InterOil closed Thursday at $48.64, a gain of 5%. CQB Rejects Cutrale $14.00 Offer The Rejection:Cutrale-Safra announced Wednesday, an offer to acquire all the outstanding stock of Chiquita Brands International Inc. (NYSE: CQB) for $14 per share in cash. Chiquita said on Thursday that its Board of Directors, after consulting with legal and financial advisors, unanimously rejected the offer as inadequate and not in the best interests of Chiquita shareholders.Chiquita reiterated that the implied present value of future share price range of ChiquitaFyffes is $15.46 to $20.01 based on a range of EBITDA growth during 2015 of 5% to 15% and an LTM EBITDA multiple range of 7.0x to 8.0x.Chiquita closed Thursday at $13.61, a loss of 1.5%.Lumos Has Hired Wells Fargo to Explore Strategic Alternatives",10/17/2014 0:02:00,"Benzinga's M&A Chatter for Thursday October 16, 2014",The Rumor:,,,,,,,,,,
SI38,2,"Shares of Lumos Networks Corp. (NASDAQ: INGR) spiked higher Thursday, on a report from Bloomberg, that the company had hired Wells Fargo to assist it in exploring strategic alternatives, including a potential sale of the company. Sources says deal for Lumos, could be valued at $1 billion including debt.Regional phone companies and private equity firms might be interested in acquiring Lumos, according to the report.Lumos Networks shares rose almost 9% Thursday, to close at $16.30.AbbVie Board Recommends Shareholders Vote Against Shire TransactionThe Withdrawn Recommendation:Following Shire plc's (NASDAQ: SHPG) waiver of the three-day notice period, AbbVie (NYSE: ABBV) announced Thursday, that its Board of Directors has withdraws its recommendation of July 18, 2014 regarding the proposed merger with Shire and recommends that shareholders vote against the transaction.AbbVie and its determined, following consideration of the impact of the Treasury's proposed changes to the tax rules, as stated on September 22, 2014. These proposed changes created an unacceptable level of uncertainty to the transaction and eliminated certain financial benefits, including th ability to access current and future global cash flows in a tax efficient manner.Shire shares rose 4.5% Thursday, to close at $178.46, while AbbVie shares fell 3% to $52.90.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",10/17/2014 0:02:00,"Benzinga's M&A Chatter for Thursday October 16, 2014",The Rumor:,,,,,,,,,,
MN38,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Wednesday October 15, 2014:AbbVie to Reconsider Merger Agreement with ShireThe Reconsideration:Shares of Shire plc (NASDAQ: SHPG) fell sharply Wednesday, following the announcement Tuesday by AbbVie (NYSE: ABBV) that it would reconsider its merger with the Irish biophamra company. AbbVie said it will consider the impact of proposed regulations on tax inversions, as announced by the U.S. Treasury Department on September 22. AbbVie said its Board would meet on October 20, unless Shire agreed to waive the notice. Shire on Wednesday agreed to waive the three-day notice.Shire confirmed on Wednesday, that it received notice from AbbVie under the Cooperation Agreement of the AbbVie Board's intention to consider whether to withdraw or modify its recommendation in light of the impact of the US Treasury Notice of 22 September 2014. Shire's Board says it believes that AbbVie should proceed with the agreed upon offer and terms agreed terms of July 18.Bloomberg reported Wednesday that AbbVie was close to dropping its bid for Shire, sending Shire shares sharply lower.Shire closed Wednesday at $170.49, a loss of 30%. AbbVie shares rose $0.50, to close at $54.63. Cutrale-Safra Submits Definitive Offer for Chiquita of $14/Share in Cash The Offer:Cutrale-Safra announced Wednesday, an offer to acquire all the outstanding stock of Chiquita Brands International Inc. (NYSE: CQB) for $14 per share in cash. Cutrale-Safra completed its due diligence, and submitted its offer to Chiquita's Board of Directors. Cutrale-Safra previously had submitted an offer of $13.00 per share, which was rejected by the Chiquita Board on August 14.Chiquita confirmed receipt of the offer and will review it.Fyffes (OTC: FYFF) said its merger offer from Chiquita remains superior, with an implied value of $15.46 to $20.01 per share.Chiquita closed Wednesday at $13.83, a gain of 5%.Ingredion to Acquire Penford Corporation for $19.00/Share in Cash",10/15/2014 20:01:00,"Benzinga's M&A Chatter for Wednesday October 15, 2014",NA,,,,,,,,,,
MN38,1,"Ingredion Incorporated (NASDAQ: INGR) announced Wednesday that it has entered into a definitive agreement to acquire Penford Corporation (NASDAQ PENX), for $19.00 per share in cash, approximately $340 million.The acquisition has been approved by the boards of directors of both companies and could close as early as the end of 2014.Penford shares rose 69% Wednesday, to close at $18.59, while Ingredion shares fell $0.40, to close at $71.62.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",10/15/2014 20:01:00,"Benzinga's M&A Chatter for Wednesday October 15, 2014",The Deal:,,,,,,,,,,
Ku18,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Tuesday October 14, 2014:The Deal Reports Avista in Talks with Potential Buyers",10/14/2014 19:39:00,"Benzinga's M&A Chatter for Tuesday October 14, 2014",NA,,,,,,,,,,
Ku18,1,"Shares of Avista Corp. (NYSE: AVA) spiked higher at the close Tuesday, on a report from The Deal that the company was in talks with potential buyers, although there is not a formal sale process. Potential buyers include Pacificorp owner Berkshire Hathaway (NYSE: BRK.A) and MDU Resources (NYSE: MDU), according to sources. Avista shares closed Tuesday at $34.03, a gain of 6%.American Midstream Acquires Costar Midstream for $470M",10/14/2014 19:39:00,"Benzinga's M&A Chatter for Tuesday October 14, 2014",The Rumor:,,,,,,,,,,
Ku18,2,"American Midstream Partners, LP (NYSE: AMID) announced Tuesday, the acquisition of Costar Midstream LLC from Energy Spectrum Partners VI LP and Costar management for approximately $470 million. The deal closed on October 14, 2014.American Midstream Partners closed Tuesday at $24.93, a gain of 1%.Iliad Ready to Pursue Another Large Deal Outside France",10/14/2014 19:39:00,"Benzinga's M&A Chatter for Tuesday October 14, 2014",The Deal:,,,,,,,,,,
Ku18,3,"France's Iliad (OTC: ILIAY) is ready to seek another large deal outside of France, now that they have given up on a potential $15 billion deal with T-Mobile US, Inc. (NYSE: TMUS), according to WSJ. Sources say Iliad's CEO Xavier Niel is still looking for a big impact acqiuistion.T-Mobile US shares fell almost 2% Tuesday, to close at $26.41.Jack Dorsey Refutes Report of Square Takeover Talks with Ebay",10/14/2014 19:39:00,"Benzinga's M&A Chatter for Tuesday October 14, 2014",The Rumor:,,,,,,,,,,
Ku18,4,"Shares of Ebay (NASDAQ: EBAY) spiked higher Tuesday on a report from Bank Innovation, that PayPal was in early talks to acquire Square, according to sources. The purchase price would reportedly be above $6 billion.Square CEO Jack Dorsey denied the rumor, tweeting: FALSE: ""PayPal Is in 'Early Talks' to Acquire Square.""Ebay ended the day Tuesday up $0.13, at $50.59.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",10/14/2014 19:39:00,"Benzinga's M&A Chatter for Tuesday October 14, 2014",The Rumor:,,,,,,,,,,
Jk01,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Monday October 13, 2014:NetScout Systems to Acquire Danaher's Communications Business",10/13/2014 21:01:00,"Benzinga's M&A Chatter for Monday October 13, 2014",NA,,,,,,,,,,
Jk01,1,"NetScout Systems, Inc. (NASDAQ: NTCT) announced Monday, that it will acquire the Communications business of Danaher Corporation (NYSE: DHR), including Tektronix Communications, Arbor Networks, plus certain parts of Fluke Networks, for approximately 62.5 million shares of NetScout common stock. That values the transaction at $2.6 billion based on NetScout's closing price of $41.91 on October 10, 2014. The deal is expected to close in the first half of NetScout's FY 2016.NetScout shares closed Monday at $39.16, and traded near $42.00 after hours.Targa Resources Partners LP, Targa Resources Corp. Announce Purchase of Atlas Pipeline Partners LP, Atlas Energy LP for $7.7B",10/13/2014 21:01:00,"Benzinga's M&A Chatter for Monday October 13, 2014",The Deal:,,,,,,,,,,
Jk01,2,"Atlas Pipeline Partners, L.P. (NYSE: APL) announced Monday that the Partnership has entered into an agreement to be acquired by Targa Resources Partners L.P. (NYSE: NGLS) in a transaction valuing Atlas Pipeline at $7.7 billion. Atlas Pipeline shareholders will receive consideration valued at $38.66 per unit in total. Atlas Pipeline limited partner unitholders will receive a fixed ratio of 0.5846 units of Targa Resources and $1.26 in cash for each outstanding Atlas Pipeline common unit. In addition, Targa Resources Corp. (NYSE: TRGP) executed a definitive agreement to acquire Atlas Energy, L.P. (NYSE: ATLS), after the completion of a spin-off of non-related APL assets, for approximately $1.9 billion. Prior to TRC's acquisition, ATLS will distribute all of its assets not associated with APL. ATLS unitholders will receive consideration of 10.35 million TRGP shares issued to ATLS unitholders as well as $610 million of cash, and a pro rata share in 100% of ATLS' distributed non-midstream assets. Atlas Energy closed Monday at $37.25, a gain of almost 15%, while Atlas Pipeline Partners gained more than 1%, to close at $34.05. Targa Resources lost 10% to close at 109.31.Iliad Ends Pursuit of T-Mobile USThe Termination:Shares of T-Mobile US, Inc. (NYSE: TMUS) sold off Monday, following a report that Iliad (OTC: ILIAY) had ended its effort to acquire the U.S. number four carrier. Iliad said Deutsche Telekom (OTC: DTEGY) and board members of T-Mobile refused to entertain its new offer, for a 67% stake valued at $36.00 per share.Iliad had previously offered $33 per share for a 56.6% stake.T-Mobile US shares fell 2.5% Monday, to close at $26.92.Posted-In: News Rumors Management M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",10/13/2014 21:01:00,"Benzinga's M&A Chatter for Monday October 13, 2014",The Deal:,,,,,,,,,,
wO80,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Friday October 10 through Sunday October 12, 2014:Silver Lake Reportedly Decides Against Buying Shutterfly, Snapfish",10/12/2014 20:54:00,Benzinga's Weekend M&A Chatter,NA,,,,,,,,,,
wO80,1,"Shares of Shutterfly, Inc. (NASDAQ: SFLY) fell more than 6% after-hours Friday, as Bloomberg reported that Silver Lake Management LLC has decided not to pursue acquisitions of Shutterfly, as well as Snapfish from Hewlett-Packard Company (NYSE: HPQ), after failing to reach an agreement, according to a source. Silver Lake had reportedly intended to acquire both photo-sharing sites and combine them.Shutterfly closed Friday at $46.96, and traded at $43.80 after hours.CSX Said to Reject Approach from Canadian Pacific",10/12/2014 20:54:00,Benzinga's Weekend M&A Chatter,The Rumor:,,,,,,,,,,
wO80,2,"Canadian Pacific Railway Ltd. (NYSE: CP) has reportedly approached CSX Corp. (NYSE: CSX) about a potential merger, that would create a $62 billion North American railway powerhouse, according to sources, as reported Sunday by WSJ. The approach made in the past week, was rebuffed by CSX, according to people familiar with the matter.Bill Ackman's Pershing Square Capital Management has a 20% stake in Canadian Pacific.CSX closed Friday at $29.94, a loss of 2.5%, while Canadian Pacific lost almost 5%, to close at $189.37.European Commission Approves Liberty Global Recommended Public Offer for ZiggoThe Approval:Liberty Global plc (NASDAQ: LBTYA) and Ziggo N.V. (OTC: ZIGGY) announced Friday, that Liberty Global has obtained regulatory clearance from the EC for its previously announced recommended public offer to all the outstanding ordinary shares in the capital of Ziggo. As a result, the condition on competition clearance for completion of the Offer, as detailed in the Offer Memorandum dated June 27, 2014 and the U.S. prospectus/offer to exchange dated August 19, 2014, has now been satisfied.Liberty Global shares rose 9% Friday, to close at $41.90, a loss of 1.5%.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",10/12/2014 20:54:00,Benzinga's Weekend M&A Chatter,The Rumor:,,,,,,,,,,
mW50,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Thursday October 9, 2014:Yelp Spikes Higher on Renewed Takeover Chatter",10/9/2014 19:33:00,"Benzinga's M&A Chatter for Thursday October 9, 2014",NA,,,,,,,,,,
mW50,1,"Shares of Yelp (NYSE: YELP) spiked higher Thursday on renewed market chatter of a potential takeover offer. This time, the rumored buyer was Google (NASDAQ: GOOGL). Yelp has been the subject of frequent takeover chatter. Spokespersons for Yelp and Google were not available for comment.Yelp closed Thursday at $69.62, a loss of $0.53.Kindred to Acquire Gentiva for $14.50/Share in Cash, $5.00/Share in Kindred Stock",10/9/2014 19:33:00,"Benzinga's M&A Chatter for Thursday October 9, 2014",The Rumor:,,,,,,,,,,
mW50,2,"Kindred Healthcare, Inc. (NYSE: KND) and Gentiva Health Services, Inc. (NASDAQ: GTIV) announced Thursday, that Kindred will acquire all of the outstanding shares of Gentiva common stock for $19.50 per share in a combination of cash and stock. Gentiva shareholders will receive $14.50 per share in cash and $5.00 per share in Kindred common stock The deal is expected to close in Q1 2015.Gentiva Health closed Thursday at $19.49, a gain of more than 16%, while shares of Kindred Healthcare gained 5%, to close at $20.75.Endo to Acquire Auxilium Pharmaceuticals for $33.25/Share",10/9/2014 19:33:00,"Benzinga's M&A Chatter for Thursday October 9, 2014",The Deal:,,,,,,,,,,
mW50,3,"Endo International plc (NASDAQ: ENDP) and Auxilium Pharmaceuticals, Inc. (NASDAQ: AUXL) announced Thursday that Endo will acquire all of the outstanding shares of common stock of Auxilium for $33.25 per share, in a cash and stock transaction, in a deal valued at $2.6 billion. Auxilium shareholders may choose 100% equity, 100% cash, or an equal mix of $16.625 in cash and 0.244 Endo shares per Auxilium share. The deal is expected to close in H1 2015.Auxilium Pharmaceuticals shares rose 9% Thursday, to close at $32.44, while Endo shares lost 6%, to close at $66.78.Elliott Management Reaffirms $21.00/Share Offer for RiverbedThe Offer:Elliott Management Corporation commented Thursday, on Riverbed Technology, Inc.'s (NASDAQ: RVBD) announcement of preliminary earnings and strategic review process. Elliott said “We commend the Board for initiating a strategic review and believe that Riverbed is a great company with products customers value,” said Jesse Cohn, portfolio manager at Elliott Management. “We have made a $21 bid for the company, and our team and advisors look forward to completing our confirmatory diligence in an expedited fashion.”Riverbed Technology shares rose almost 3% Thursday to close at $18.59.Posted-In: News Hedge Funds Rumors Management Insider Trades M&A Movers General© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",10/9/2014 19:33:00,"Benzinga's M&A Chatter for Thursday October 9, 2014",The Deal:,,,,,,,,,,
jz73,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Wednesday October 8, 2014: Cliffs in Talks With 'Multiple' Parties to Sell Non-Core AssetsThe Talks:Shares of Cliffs Natural Resources Inc. (NYSE: CLF) rose Wednesday on a report from WSJ that CEO Lourenco Goncalves said ""multiple"" parties are interested, but has no deadline for selling non-core assets. Shares of Cliff's have fallen more than 40% in 2014, due to weak China demand and oversupply.Cliffs Natural Resources closed Wednesday at $7.97, a gain of 2.5%.Rumors Icahn May Ask Tim Cook to Buy Netlfix or Nuance The Rumors:Shares of Netflix, Inc. (NASDAQ: NFLX) and Nuance Communications, Inc. (NASDAQ: NUAN) rose Wednesday, following a tweet from Carl Icahn that he was sending an open letter to Apple Inc. (NASDAQ: AAPL) CEO Tim Cook, adding ""believe it will be interesting."" Various rumors were reported that Icahn could mention a potential deal with Nuance or Netflix.Other Icahn-related issues, including Ebay, Hertz and Clorox, also moved higher following the tweet.Shares of Nuance Communications closed Wednesday at $14.77, and rose another 2.5% after-hours. Shares of Netflix rose 2% to close at $466.86.Elliott Management Urges EMC Spinoff of VMware, M&A OpportunitiesThe Shareholder Letter:Shareholder Elliott Management sent a letter to the EMC Corporation (NYSE: EMC) Board of Dierctors on Wednesday, recommending various options including a spinoff of VMware, Inc. (NYSE: VMW) and M&A opportunities. Elliott owns approximately 2.2% of EMC shares.EMC's Board responded that they have met with representatives of Elliott several times and listened to their ideas, as with all shareholders. The Board said it regularly reviews and evaluates the company's strategy, while considering shareholder value.EMC shares rose almost 2.5% Wednesday to close at $28.62, a while VMware shares gained $1.56, to close at $92.98.Posted-In: News Hedge Funds Rumors Movers & Shakers Management M&A Movers General© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",10/8/2014 19:23:00,"Benzinga's M&A Chatter for Wednesday October 8, 2014",NA,,,,,,,,,,
